"longitude","latitude","cluster","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9"
-82.413102,39.980131,1,102,213,-19,1022,111,59,20,321,196,308,196,123,32,8961,290,-84,374,194,-19
-82.121672,39.386558,1,109,216,-8,1020,112,64,18,311,206,303,206,129,35,8662,292,-76,368,197,-8
-77.799828,38.781364,1,123,230,11,1037,102,70,12,289,217,288,217,124,34,8426,302,-57,359,209,11
-77.827498,40.451536,1,98,209,-20,1009,104,65,14,299,205,282,205,113,31,8856,284,-78,362,189,-20
-83.870052,37.750901,1,125,228,13,1209,128,72,15,349,262,333,278,130,36,8303,302,-58,360,209,134
-84.110503,39.04964,1,113,223,-7,1086,117,70,17,322,223,300,223,117,32,8905,294,-71,365,109,-7
-81.605295,41.308625,1,96,208,-25,961,96,55,16,284,189,278,189,108,29,9046,280,-81,361,187,-25
-84.050003,39.501945,1,112,225,-11,1009,111,62,18,306,200,283,200,111,30,9119,294,-71,365,205,-11
-84.150519,40.129353,5,104,220,-21,959,101,55,20,301,183,286,183,111,29,9343,290,-81,371,199,-21
-80.568329,37.210924,2,112,209,9,957,99,64,13,277,199,267,199,133,38,7698,285,-60,345,190,9
-83.246047,39.988578,1,106,218,-17,958,105,55,20,300,183,284,183,118,31,9114,291,-79,370,199,-17
-79.863987,43.375798,5,74,193,-49,858,87,54,12,245,180,238,188,97,26,9408,266,-98,364,184,-42
-81.204924,41.621464,1,88,200,-33,1047,102,58,15,293,202,293,213,105,29,9067,269,-91,360,178,-23
-82.012775,39.595672,1,106,214,-12,1021,113,62,19,318,202,309,202,128,34,8710,290,-79,369,195,-12
-75.154779,41.094315,1,87,199,-32,1151,109,74,11,320,246,316,247,124,33,8884,278,-97,375,178,-19
-79.755486,43.513473,5,75,194,-48,813,85,51,13,236,167,230,175,97,26,9444,267,-98,365,186,-41
-76.366195,41.241195,1,80,191,-38,984,108,57,20,309,180,297,180,115,31,8840,267,-97,364,170,-38
-83.027184,40.154135,1,105,218,-18,954,104,53,21,303,181,289,181,119,31,9092,293,-80,373,198,-18
-82.862755,40.185845,1,101,214,-22,973,107,53,21,311,183,298,183,120,32,9118,289,-85,374,194,-22
-78.013791,39.459687,1,112,221,-3,956,97,61,14,281,190,271,190,124,33,8611,298,-68,366,200,-3
-81.424335,41.580203,1,94,206,-27,982,96,54,16,278,188,278,196,103,28,9058,275,-83,358,206,-17
-79.484815,41.507799,1,76,187,-44,1138,120,63,17,343,217,343,220,122,32,8951,267,-106,373,187,-33
-76.062664,42.796423,1,70,185,-52,1064,104,67,13,291,212,291,227,106,29,9191,258,-107,365,185,-43
